,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
17,17,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,19.880157869978767
18,18,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,7.790944138495186
19,19,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,16.851738065938477
20,20,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,9.056672984232303
21,21,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,1.532264786863453
22,22,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,16.902901527472448
23,23,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,7.790489304916118
24,24,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,19.917359352869003
25,25,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,12.464066309561852
26,26,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,11.007734763545226
27,27,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,13.184918189815097
28,28,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,13.612594236983208
29,29,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,13.971948960232016
30,30,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,17.073813050988182
31,31,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20.442929762531403
32,32,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,13.763778585007293
33,33,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,16.476481315354967
34,34,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,17.297865752893937
35,35,,,,,3,Meal,scooter,0.0,No,Metropolitian,37,13.61239320287526
36,36,26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,9.121425981664204
37,37,37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,16.721288103899063
38,38,32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,6.117219095512411
39,39,37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,6.210618493070031
40,40,32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,19.76079800703268
41,41,20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,3.02944056107288
42,42,28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,11.71980127031202
43,43,37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,7.683177078410288
44,44,30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,12.10028759778096
45,45,34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,12.46396242676217
46,46,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,6.146683594422382
47,47,22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,7.562267471587871
48,48,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,6.037474189774952
49,49,26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,13.787803344558728
50,50,31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,13.970007989630956
51,51,35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,7.64950631838354
52,52,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,6.037116126684456
53,53,38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,5.8746303285596175
54,54,22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,13.40635034593394
55,55,24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,4.4647953174860575
56,56,30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,12.3525760402391
57,57,36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,10.42721501021827
58,58,38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20.253584375811304
59,59,34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,16.635223376912617
60,60,24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,7.342480856113623
61,61,21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,13.680927409365763
62,62,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,14.022295961692818
63,63,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,6.242543106350919
64,64,22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,6.053660476378026
65,65,20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,6.051989448461392
66,66,25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,13.768718508442738
67,67,25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,7.862668167467362
68,68,34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,17.137830077695
69,69,21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,11.007734763545226
70,70,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,7.562980271969265
71,71,22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,12.243495934522482
72,72,24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,1.5203488901901792
73,73,28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,14.021726512940823
74,74,27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20.887331234684485
75,75,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,13.407238587912502
76,76,22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,12.435806040948572
77,77,36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,4.610133887061302
78,78,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,7.772466272092122
79,79,27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,4.656811824475263
80,80,37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,7.646104748376906
81,81,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,9.088005113399266
82,82,33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,12.41711599871314
83,83,30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,7.5467812205384925
84,84,22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,10.880650831335046
85,85,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,9.326872528792316
86,86,30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,1.5203447251019993
87,87,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,4.530125283634556
88,88,33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,7.562069972217765
89,89,30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,9.087937067701246
90,90,22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20.178916924752546
91,91,34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,10.709308833427755
92,92,31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,1.512600086398895
93,93,35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,10.594458829956004
94,94,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,12.58026782216666
95,95,,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,6.210864156013002
96,96,32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,10.906257371374378
97,97,33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,7.573523734238649
98,98,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20.286495439716045
99,99,20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,6.127835452793534
100,100,35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,9.326827803082512
101,101,28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,1.5439623816123476
102,102,26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20.18093693174209
103,103,23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,4.405611015399672
104,104,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,12.257021345777924
105,105,29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,17.073624954178904
106,106,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,1.536718753017997
107,107,39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,7.761422437330777
108,108,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,3.105492717339753
109,109,26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,1.5725337265584898
110,110,29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,1.529297691866026
111,111,34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,16.384900933440587
112,112,30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,7.5623179451646205
113,113,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,7.763197145384553
114,114,33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,10.42547509986873
115,115,23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,13.183266786432418
116,116,33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,3.0295222223507365
117,117,23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,14.022298282537264
118,118,31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,6.217860689094804
119,119,39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,4.544232356546281
120,120,20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,16.82538340488173
121,121,37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,3.116127221552501
122,122,,,Stormy,Low,2,Snack,scooter,1.0,No,,14,16.721288103899063
123,123,31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,12.58026782216666
124,124,22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,10.88093543823611
125,125,30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,13.765756924366846
126,126,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,19.367701972034023
127,127,34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,17.297865752893937
128,128,34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,10.586953096729363
129,129,28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,12.419602040798765
130,130,27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,7.573523734238649
131,131,,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,6.037605711734448
132,132,22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,14.152800689506924
133,133,31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,12.10651131970407
134,134,35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,1.5725337265584898
135,135,30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,1.5322885570360325
136,136,35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,7.77252320049916
137,137,35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,12.41800992215158
138,138,24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,9.31283846716948
139,139,36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,12.162306144870003
140,140,27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,10.906058503130946
141,141,39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,16.90290998367753
142,142,22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,10.906289036313035
143,143,39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,13.583078662372667
144,144,29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,12.58026782216666
145,145,39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,4.674184358001537
146,146,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,1.5368285425757406
147,147,36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,1.5204696649092773
148,148,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,4.590769055358847
149,149,27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,4.494207463620029
150,150,29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,16.41274679744389
151,151,,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20.182482607606534
152,152,30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,19.36342948175045
153,153,23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,1.5093577670164835
154,154,23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,6.118471180354312
155,155,32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,4.610120317596728
156,156,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,3.1162385589582624
157,157,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,13.972141328923932
158,158,36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,1.554619808075942
159,159,23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20.182728114835903
160,160,24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,1.4897806661060058
161,161,26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,10.867285240517935
162,162,36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,19.97591692313727
163,163,31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,7.790160607276956
164,164,37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,9.075352487305349
165,165,38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,13.612447554552563
166,166,26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,7.573225613543872
167,167,20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,7.77261895902156
168,168,26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,4434.919719051925
169,169,35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,3.0527511604097017
170,170,34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,6.232472211068167
171,171,22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,6.147404652585687
172,172,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,9.088011034055526
173,173,36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,4.596951629108698
174,174,34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,10.866261860516522
175,175,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,16.822056546184967
176,176,26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,3.109024398008572
177,177,28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,7.761284984497349
178,178,25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,3.019792716968146
179,179,32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,16.608314041963972
180,180,26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,12.23868634509712
181,181,37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,19.97528686239015
182,182,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,7.4483182468939795
183,183,27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,10.881077849035108
184,184,39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,7.762635434643752
185,185,28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,4.717601091654031
186,186,28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,12.16113135009256
187,187,26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,9.32694086948928
188,188,39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,1.5524290103805003
189,189,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,7.772096240774094
190,190,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,12.257118232949184
191,191,33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,16.659979129044938
192,192,27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,19.39597977202738
193,193,37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,1.52916276337713
194,194,27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,3.1050491919311813
195,195,39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,19.659851482294183
196,196,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,3.02953738832919
197,197,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,13.973182653974488
198,198,31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,3.0596070723621493
199,199,38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,7.325299567430143
200,200,34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,1.5321262819005874
201,201,,,,,3,Snack,electric_scooter,2.0,No,Urban,40,10.756415548602094
202,202,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,7.7613504049535935
203,203,37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,12.293677673344574
204,204,28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,16.637054384866953
205,205,37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,16.82538340488173
206,206,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,14.152800689506924
207,207,37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,1.5136443675476847
208,208,22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,2.979521050245772
209,209,39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,4.544232356546281
210,210,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,16.638590183191422
211,211,35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,10.8674212648958
212,212,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,4.657654936664735
213,213,27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,4.537394871401189
214,214,30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,16.600361127894633
215,215,30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,6.146633645909954
216,216,23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,3.087888624322901
217,217,32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,7.790160607276956
218,218,31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,1.514781402938702
219,219,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,19.472033277855537
220,220,20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,3.1450674354101187
221,221,24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,7.772466272092122
222,222,37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,1.5126978093478265
223,223,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20.25296785008508
224,224,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,7.564859910471562
225,225,36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,13.763778585007293
226,226,24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,4.528570753833522
227,227,28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,13.40589201850077
228,228,32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,1.554514379490486
229,229,33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,1.5525569816082048
230,230,21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,11.91659505984837
231,231,38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20.178916924752546
232,232,28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,4.539068202863132
233,233,36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,12.463970104792164
234,234,26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,7.68360839728931
235,235,30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,3.064267071836348
236,236,23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,13.6158334590668
237,237,38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,4.537940845665759
238,238,33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,9.074684164011789
239,239,28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,6.053489440625695
240,240,28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,3.025279773180782
241,241,22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,17.137491426369635
242,242,27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,3.040891553714859
243,243,20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,13.582337494248948
244,244,25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,3.058697314646745
245,245,21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,9.088078141696643
246,246,29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,19.68855300536724
247,247,34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,16.85244461324599
248,248,22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,16.47656243001569
249,249,27.0,4.5,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,11,9.181151800929156
250,250,26.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,3.105095438251917
251,251,22.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,13.972194586988255
252,252,20.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,17,3413.453269411299
